Variable,Description
Practice_Code,Practice code
Practice_Name,Practice name
SHA_Name,SHA name
pct_code,PCT code
ONS_PCT_Code,ONS PCT Code
PCT_Name,PCT name
distributed,Total survey forms distributed
received,Total completed forms received
resprate,Response rate
Y6W2_distributed,Survey forms distributed (Jan-Mar 2012 only)
Y6W2_received,Completed forms received (Jan-Mar 2012 only)
Y6W2_resprate,Response rate (Jan-Mar 2012 only)
Q1base,Last seen or spoke to a GP - total responses
Q1_1,Last seen or spoke to a GP - In the past 3 months
Q1_2,Last seen or spoke to a GP - Between 3 and 6 months ago
Q1_3,Last seen or spoke to a GP - Between 6 and 12 months ago
Q1_4,Last seen or spoke to a GP - More than 12 months ago
Q1_5,Last seen or spoke to a GP - I have never seen a GP from my GP surgery
Q1_12,Last seen or spoke to a GP - In the past 6 months
Q2base,Last seen or spoke to a nurse - total responses
Q2_1,Last seen or spoke to a nurse - In the past 3 months
Q2_2,Last seen or spoke to a nurse - Between 3 and 6 months
Q2_3,Last seen or spoke to a nurse - Between 6 and 12 months
Q2_4,Last seen or spoke to a nurse - More than 12 months ago
Q2_5,Last seen or spoke to a nurse - I have never seen a GP from my GP surgery
Q2_12,Last seen or spoke to a nurse - In the past 6 months
Q3base,Ease of getting through to someone at GP surgery on the phone - total responses
Q3_1,Ease of getting through to someone at GP surgery on the phone - Very easy
Q3_2,Ease of getting through to someone at GP surgery on the phone - Fairly easy
Q3_3,Ease of getting through to someone at GP surgery on the phone - Not very easy
Q3_4,Ease of getting through to someone at GP surgery on the phone - Not at all easy
Q3_5,Ease of getting through to someone at GP surgery on the phone - Haven't tried
Q3_12,Ease of getting through to someone at GP surgery on the phone - Easy (total)
Q4base,Helpfulness of receptionists at GP surgery - total responses
Q4_1,Helpfulness of receptionists at GP surgery - Very helpful
Q4_2,Helpfulness of receptionists at GP surgery - Fairly helpful
Q4_3,Helpfulness of receptionists at GP surgery - Not very helpful
Q4_4,Helpfulness of receptionists at GP surgery - Not at all helpful
Q4_5,Helpfulness of receptionists at GP surgery - Don't know
Q4_12,Helpfulness of receptionists at GP surgery - Helpful (total)
Q5base,Overheard in reception area - total responses
Q5_1,"Overheard in reception area - Yes, but I don't mind"
Q5_2,"Overheard in reception area - Yes, and I'm not happy about it"
Q5_3,"Overheard in reception area - No, other patients can't overhear"
Q5_4,Overheard in reception area - Don't know
Q5_12,Overheard in reception area - Yes (total)
Q6base,How normally book appointments to see a GP or nurse...total responses
Q6_1,How normally book appointments to see a GP or nurse...In person
Q6_2,How normally book appointments to see a GP or nurse...By phone
Q6_3,How normally book appointments to see a GP or nurse...By fax machine
Q6_4,How normally book appointments to see a GP or nurse...Online
Q6_5,How normally book appointments to see a GP or nurse...Doesn’t apply
Q7base,Preferred methods to book appointments at GP surgery...total responses
Q7_1,Preferred methods to book appointments at GP surgery...In person
Q7_2,Preferred methods to book appointments at GP surgery...By phone
Q7_3,Preferred methods to book appointments at GP surgery...By fax machine
Q7_4,Preferred methods to book appointments at GP surgery...Online
Q7_5,Preferred methods to book appointments at GP surgery...No preference
Q8base,Have a preferred GP - total responses
Q8_1,Have a preferred GP - Yes
Q8_2,Have a preferred GP - No
Q8_3,Have a preferred GP - There is usually only one GP in my GP surgery
Q9base,Frequency of seeing preferred GP - total responses
Q9_1,Frequency of seeing preferred GP - Always or almost always
Q9_2,Frequency of seeing preferred GP - A lot of the time
Q9_3,Frequency of seeing preferred GP - Some of the time
Q9_4,Frequency of seeing preferred GP - Never or almost never
Q9_5,Frequency of seeing preferred GP - Not tried at this GP surgery
Q9_12,"Frequency of seeing preferred GP - always, almost always or a lot of the time (total)"
Q10base,Last time wanted to see/speak to GP or nurse: What did you want to do?...total responses
Q10_1,Last time wanted to see/speak to GP or nurse: What did you want to do?...See GP at surgery
Q10_2,Last time wanted to see/speak to GP or nurse: What did you want to do?...See nurse at surgery
Q10_3,Last time wanted to see/speak to GP or nurse: What did you want to do?...Speak to GP on phone
Q10_4,Last time wanted to see/speak to GP or nurse: What did you want to do?...Speak to nurse on phone
Q10_5,Last time wanted to see/speak to GP or nurse: What did you want to do?...Have someone visit at home
Q10_6,Last time wanted to see/speak to GP or nurse: What did you want to do?...Didn't mind / Wasn't sure
Q11base,When did you want to see or speak to them? - total responses
Q11_1,When did you want to see or speak to them? - On the same day
Q11_2,When did you want to see or speak to them? - On the next working day
Q11_3,When did you want to see or speak to them? - A few days later
Q11_4,When did you want to see or speak to them? - A week or more later
Q11_5,When did you want to see or speak to them? - I didn't have a specific day in mind
Q11_6,When did you want to see or speak to them? - Can't remember
Q12base,Able to get an appointment to see or speak to someone - total responses
Q12_1,Able to get an appointment to see or speak to someone - Yes
Q12_2,"Able to get an appointment to see or speak to someone - Yes, but I had to call back closer or on the day I wanted the appointment"
Q12_3,Able to get an appointment to see or speak to someone - No
Q12_4,Able to get an appointment to see or speak to someone - Can't remember
Q12_12,Able to get an appointment to see or speak to someone - Yes (total)
Q13base,What type of appointment did you get?...total responses
Q13_1,What type of appointment did you get?...Appointment to see a GP at the surgery
Q13_2,What type of appointment did you get?...Appointment to see a nurse at the surgery
Q13_3,What type of appointment did you get?...Appointment to speak to a GP on the phone
Q13_4,What type of appointment did you get?...Appointment to speak to a nurse on the phone
Q13_5,What type of appointment did you get?...Appointment for someone to visit me at my home
Q14base,How long until actually saw or spoke to GP / nurse - total responses
Q14_1,How long until actually saw or spoke to GP / nurse - On the same day
Q14_2,How long until actually saw or spoke to GP / nurse - On the next working day
Q14_3,How long until actually saw or spoke to GP / nurse - A few days later
Q14_4,How long until actually saw or spoke to GP / nurse - A week or more later
Q14_5,How long until actually saw or spoke to GP / nurse - Can't remember
Q15base,Convenience of appointment - total responses
Q15_1,Convenience of appointment - Very convenient
Q15_2,Convenience of appointment - Fairly convenient
Q15_3,Convenience of appointment - Not very convenient
Q15_4,Convenience of appointment - Not at all convenient
Q15_12,Convenience of appointment - Convenient (total)
Q16base,Reason for not being able to get an appointment / the appointment offered was inconvenient - total responses
Q16_1,Reason for not being able to get an appointment / the appointment offered was inconvenient - There weren't any appointments for the day I wanted
Q16_2,Reason for not being able to get an appointment / the appointment offered was inconvenient - There weren't any appointments for the time I wanted
Q16_3,Reason for not being able to get an appointment / the appointment offered was inconvenient - I couldn't see my preferred GP
Q16_4,Reason for not being able to get an appointment / the appointment offered was inconvenient - I couldn't book ahead at my GP surgery
