Variable,Description,,,,,,,,,,,,,,,,,,,,,,
Practice_Code,Practice code,,,,,,,,,,,,,,,,,,,,,,
Practice_Name,Practice name,,,,,,,,,,,,,,,,,,,,,,
PCN_Code,PCN code,,,,,,,,,,,,,,,,,,,,,,
PCN_Name,PCN name,,,,,,,,,,,,,,,,,,,,,,
ICS_Code,ICS Code from NHS datasets,,,,,,,,,,,,,,,,,,,,,,
ICS_Code_ONS,ICS Code from ONS datasets,,,,,,,,,,,,,,,,,,,,,,
ICS_Name,ICS Name,,,,,,,,,,,,,,,,,,,,,,
CR_Code,Commissioning Region Code,,,,,,,,,,,,,,,,,,,,,,
CR_Name,Commissioning Region Name,,,,,,,,,,,,,,,,,,,,,,
distributed,Total survey forms distributed,,,,,,,,,,,,,,,,,,,,,,
received,Total completed forms received,,,,,,,,,,,,,,,,,,,,,,
resprate,Response rate,,,,,,,,,,,,,,,,,,,,,,
q3base,Ease of getting through to someone at GP practice on the phone - Total responses,,,,,,,,,,,,,,,,,,,,,,
q3_1234base,Ease of getting through to someone at GP practice on the phone - Total responses excluding 'haven't tried' (base for percentage calculations excluding % 'haven't tried'),,,,,,,,,,,,,,,,,,,,,,
q3_1,Ease of getting through to someone at GP practice on the phone - Very easy,,,,,,,,,,,,,,,,,,,,,,
q3_2,Ease of getting through to someone at GP practice on the phone - Fairly easy,,,,,,,,,,,,,,,,,,,,,,
q3_3,Ease of getting through to someone at GP practice on the phone - Not very easy,,,,,,,,,,,,,,,,,,,,,,
q3_4,Ease of getting through to someone at GP practice on the phone - Not at all easy,,,,,,,,,,,,,,,,,,,,,,
q3_5,Ease of getting through to someone at GP practice on the phone - Haven't tried,,,,,,,,,,,,,,,,,,,,,,
q3_12,Ease of getting through to someone at GP practice on the phone - Summary result - Easy (Combined 'very easy' and 'fairly easy' responses),,,,,,,,,,,,,,,,,,,,,,
q4base,Helpfulness of receptionists at GP practice - Total responses,,,,,,,,,,,,,,,,,,,,,,
Q4_1234base,Helpfulness of receptionists at GP practice - Total responses excluding 'don't know' (base for percentage calculations excluding % 'don’t know'),,,,,,,,,,,,,,,,,,,,,,
q4_1,Helpfulness of receptionists at GP practice - Very helpful,,,,,,,,,,,,,,,,,,,,,,
q4_2,Helpfulness of receptionists at GP practice - Fairly helpful,,,,,,,,,,,,,,,,,,,,,,
q4_3,Helpfulness of receptionists at GP practice - Not very helpful,,,,,,,,,,,,,,,,,,,,,,
q4_4,Helpfulness of receptionists at GP practice - Not at all helpful,,,,,,,,,,,,,,,,,,,,,,
q4_5,Helpfulness of receptionists at GP practice - Don't know,,,,,,,,,,,,,,,,,,,,,,
q4_12,Helpfulness of receptionists at GP practice - Summary result - Helpful (Combined 'very helpful' and 'fairly helpful' responses),,,,,,,,,,,,,,,,,,,,,,
Q114base,Use of general practice online services in past 12 months - Total responses,,,,,,,,,,,,,,,,,,,,,,
Q114_1,Use of general practice online services in past 12 months - Booking appointments online,,,,,,,,,,,,,,,,,,,,,,
Q114_2,Use of general practice online services in past 12 months - Ordering repeat prescriptions online,,,,,,,,,,,,,,,,,,,,,,
Q114_3,Use of general practice online services in past 12 months - Accessing medical records online,,,,,,,,,,,,,,,,,,,,,,
Q114_4,Use of general practice online services in past 12 months - Had an online consultation or appointment (for example completed an online form or had a video call),,,,,,,,,,,,,,,,,,,,,,
Q114_5,Use of general practice online services in past 12 months - None of these,,,,,,,,,,,,,,,,,,,,,,
q73base,Ease of using your GP practice’s website to look for information or access services - Total responses,,,,,,,,,,,,,,,,,,,,,,
Q73_1234base,Ease of using your GP practice's website to look for information or access services - Total responses excluding 'haven't tried' (base for percentage calculations excluding % 'haven't tried'),,,,,,,,,,,,,,,,,,,,,,
q73_1,Ease of using your GP practice’s website to look for information or access services - Very easy,,,,,,,,,,,,,,,,,,,,,,
q73_2,Ease of using your GP practice’s website to look for information or access services - Fairly easy,,,,,,,,,,,,,,,,,,,,,,
q73_3,Ease of using your GP practice’s website to look for information or access services - Not very easy,,,,,,,,,,,,,,,,,,,,,,
q73_4,Ease of using your GP practice’s website to look for information or access services - Not at all easy,,,,,,,,,,,,,,,,,,,,,,
q73_5,Ease of using your GP practice’s website to look for information or access services - Haven't tried,,,,,,,,,,,,,,,,,,,,,,
q73_12,Ease of using your GP practice’s website to look for information or access services - Summary result - Easy (Combined 'very easy' and 'fairly easy' responses),,,,,,,,,,,,,,,,,,,,,,
q74base,Awareness of general practice appointment times - Total responses,,,,,,,,,,,,,,,,,,,,,,
Q74_1,Awareness of general practice appointment times - Before 8am on at least one weekday,,,,,,,,,,,,,,,,,,,,,,
Q74_2,Awareness of general practice appointment times - Weekdays between 8am and 6.30pm,,,,,,,,,,,,,,,,,,,,,,
Q74_3,Awareness of general practice appointment times - After 6.30pm on a weekday,,,,,,,,,,,,,,,,,,,,,,
Q74_4,Awareness of general practice appointment times - On a Saturday,,,,,,,,,,,,,,,,,,,,,,
Q74_5,Awareness of general practice appointment times - On a Sunday,,,,,,,,,,,,,,,,,,,,,,
Q74_6,Awareness of general practice appointment times - Don’t know,,,,,,,,,,,,,,,,,,,,,,
q25base,Satisfaction with general practice appointment times - Total responses,,,,,,,,,,,,,,,,,,,,,,
Q25_12345base,Satisfaction with general practice appointment times - Total responses excluding 'I'm not sure when I can get an appointment' (base for percentage calculations excluding % 'I'm not sure when I can get an appointment'),,,,,,,,,,,,,,,,,,,,,,
q25_1,Satisfaction with general practice appointment times - Very satisfied,,,,,,,,,,,,,,,,,,,,,,
q25_2,Satisfaction with general practice appointment times - Fairly satisfied,,,,,,,,,,,,,,,,,,,,,,
q25_3,Satisfaction with general practice appointment times - Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,
q25_4,Satisfaction with general practice appointment times - Fairly dissatisfied,,,,,,,,,,,,,,,,,,,,,,
q25_5,Satisfaction with general practice appointment times  - Very dissatisfied,,,,,,,,,,,,,,,,,,,,,,
q25_6,Satisfaction with general practice appointment times - I'm not sure when I can get an appointment,,,,,,,,,,,,,,,,,,,,,,
q25_12,Satisfaction with general practice appointment times  - Summary result - Satisfied (Combined 'very satisfied' and 'fairly satisfied' responses) ,,,,,,,,,,,,,,,,,,,,,,
q8base,Have a preferred GP - Total responses,,,,,,,,,,,,,,,,,,,,,,
